"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2023F","OK","AVTCB"," 2837"," 2437"," 3373"," 3447"," 3617"," 3760"," 3455"," 2569"," 2490"," 2444"," 2261"," 2126"," 2007"," 1955"," 1857"," 1560"," 1515"," 1669"," 1770"," 1552"," 1653"," 1353"," 784"," 609"," 951"," 1097"," 1264"," 903"," 870"," 834"," 738"," 559"," 625"," 527"," 423"," 778"," 593"," 404"," 670"," 513"," 546"," 405"," 610"," 533"," 672"," 324"," 1320"," 259"," 227"," 1238"," 1002"," 940"," 876"," 662"," 266"," 295"," 291"," 304"," 333"," 350"," 311"," 316"," 327"," 310"
"2023F","OK","AVTCP"," 562"," 483"," 668"," 683"," 717"," 745"," 684"," 509"," 493"," 484"," 448"," 421"," 398"," 387"," 368"," 309"," 300"," 331"," 351"," 307"," 328"," 268"," 155"," 121"," 188"," 217"," 250"," 179"," 172"," 165"," 146"," 111"," 124"," 104"," 84"," 154"," 117"," 80"," 133"," 102"," 108"," 80"," 121"," 106"," 133"," 64"," 261"," 51"," 45"," 245"," 199"," 186"," 174"," 131"," 53"," 58"," 58"," 60"," 66"," 69"," 62"," 63"," 65"," 61"
"2023F","OK","AVTXB"," 2837"," 2437"," 3373"," 3447"," 3617"," 3760"," 3455"," 2569"," 2490"," 2444"," 2261"," 2126"," 2007"," 1955"," 1857"," 1560"," 1515"," 1669"," 1770"," 1552"," 1653"," 1353"," 784"," 609"," 951"," 1097"," 1264"," 903"," 870"," 834"," 738"," 559"," 625"," 527"," 423"," 778"," 593"," 404"," 670"," 513"," 546"," 405"," 610"," 533"," 672"," 324"," 1320"," 259"," 227"," 1238"," 1002"," 940"," 876"," 662"," 266"," 295"," 291"," 304"," 333"," 350"," 311"," 316"," 327"," 310"
"2023F","OK","AVTXP"," 562"," 483"," 668"," 683"," 717"," 745"," 684"," 509"," 493"," 484"," 448"," 421"," 398"," 387"," 368"," 309"," 300"," 331"," 351"," 307"," 328"," 268"," 155"," 121"," 188"," 217"," 250"," 179"," 172"," 165"," 146"," 111"," 124"," 104"," 84"," 154"," 117"," 80"," 133"," 102"," 108"," 80"," 121"," 106"," 133"," 64"," 261"," 51"," 45"," 245"," 199"," 186"," 174"," 131"," 53"," 58"," 58"," 60"," 66"," 69"," 62"," 63"," 65"," 61"
"2023F","OK","B1ABB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1ABP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1ACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1ACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1AUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","B1AUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","B1RIB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1RIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1TCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","B1TCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDABB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 195"," 267"," 781"," 1175"," 1874"," 1923"," 1799"," 2138"," 2186"," 1875"," 1655"," 1660"," 1490"," 1362"," 1647"
"2023F","OK","BDABP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 36"," 50"," 146"," 219"," 350"," 359"," 336"," 399"," 408"," 350"," 309"," 310"," 278"," 254"," 307"
"2023F","OK","BDACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 52"," 43"," 85"," 289"," 829"," 1124"," 964"," 1022"," 826"," 2804"," 2709"," 4435"," 4309"," 4204"," 6116"," 5995"," 4883"," 4021"," 4260"," 3500"," 3291"," 4443"
"2023F","OK","BDACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 10"," 8"," 16"," 54"," 155"," 210"," 180"," 191"," 154"," 523"," 506"," 828"," 804"," 784"," 1141"," 1119"," 911"," 750"," 795"," 653"," 614"," 829"
"2023F","OK","BDAUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2011"," 1929"," 2796"
"2023F","OK","BDAUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 375"," 360"," 522"
"2023F","OK","BDCBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDCBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDCCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDCCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDCUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDCUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDEIB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDEIK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDEIP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDEUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDEUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 23"," 30"," 16"," 23"," 0"," 53"," 53"," 47"," 61"," 63"," 61"," 56"," 66"," 60"," 59"," 62"
"2023F","OK","BDRBB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDRBP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDRCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDRCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2023F","OK","BDRIB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 195"," 267"," 781"," 1175"," 1874"," 1923"," 1799"," 2138"," 2186"," 1875"," 1655"," 1660"," 1490"," 1362"," 1647"
"2023F","OK","BDRIP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 36"," 50"," 146"," 219"," 350"," 359"," 336"," 399"," 408"," 350"," 309"," 310"," 278"," 254"," 307"
"2023F","OK","BDRUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDRUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"
"2023F","OK","BDSAB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1568"," 1119"," 2770",,,,,,,,,,,,
"2023F","OK","BDSAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 293"," 209"," 517",,,,,,,,,,,,
"2023F","OK","BDSUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2011"," 1929"," 2796"
"2023F","OK","BDSUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 375"," 360"," 522"
"2023F","OK","BDTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 52"," 43"," 85"," 289"," 829"," 1124"," 964"," 1022"," 826"," 2804"," 2709"," 4435"," 4309"," 4204"," 6116"," 5995"," 4883"," 4021"," 4260"," 3500"," 3291"," 4443"
"2023F","OK","BDTCK"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"," 5.359"
"2023F","OK","BDTCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 10"," 8"," 16"," 54"," 155"," 210"," 180"," 191"," 154"," 523"," 506"," 828"," 804"," 784"," 1141"," 1119"," 911"," 750"," 795"," 653"," 614"," 829"
"2023F","OK","BDTXB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 52"," 43"," 85"," 289"," 829"," 1124"," 964"," 1022"," 826"," 2804"," 2709"," 4435"," 4309"," 4204"," 6116"," 5995"," 4883"," 4021"," 4260"," 3500"," 3291"," 4443"
"2023F","OK","BDTXP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 10"," 8"," 16"," 54"," 155"," 210"," 180"," 191"," 154"," 523"," 506"," 828"," 804"," 784"," 1141"," 1119"," 911"," 750"," 795"," 653"," 614"," 829"
"2023F","OK","BDXUB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 2011"," 1929"," 2796"
"2023F","OK","BDXUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 375"," 360"," 522"
"2023F","OK","BFLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 23"," 30"," 16"," 23"," 0"," 53"," 53"," 47"," 61"," 63"," 61"," 56"," 66"," 60"," 59"," 62"
"2023F","OK","BFTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 361"," 1278"," 610"," 184"," 165"," 203"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 33"," 52"," 43"," 85"," 3891"," 4430"," 8170"," 14170"," 13072"," 13416"," 15169"," 15553"," 16701"," 18426"," 19685"," 21647"," 21313"," 20412"," 19540"," 18404"," 18712"," 18517"," 19904"
"2023F","OK","BMCAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 64.1"," 58"," 70.9"," 61.7"," 69.7"," 62.7"," 66.3"," 72.3"," 71.2"," 65.6"," 71"," 68.3"," 76.6"," 68.2"," 68"," 61.7"
"2023F","OK","BMTCB"," 10185"," 9519"," 8940"," 8642"," 8170"," 7607"," 7729"," 7032"," 7537"," 7239"," 6979"," 6833"," 11704"," 11683"," 11342"," 11997"," 13317"," 14489"," 19149"," 22757"," 11200"," 12156"," 15590"," 13549"," 15471"," 15586"," 14557"," 15280"," 16005"," 25306"," 21420"," 21066"," 19677"," 22946"," 24095"," 24537"," 29277"," 25268"," 24732"," 22772"," 24097"," 24136"," 20694"," 23193"," 26558"," 30411"," 31553"," 33859"," 27007"," 31414"," 43667"," 45278"," 46611"," 50452"," 50325"," 47682"," 51514"," 54885"," 56316"," 53856"," 56382"," 56130"," 54864"," 53151"
"2023F","OK","BQICB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
